zone_id,dropoff_count,LocationID,Borough,Zone,service_zone,zone_type
73,5584,73,Queens,East Flushing,Boro Zone,Other
74,328361,74,Manhattan,East Harlem North,Boro Zone,Congestion Zone
75,505732,75,Manhattan,East Harlem South,Boro Zone,Congestion Zone
76,66248,76,Brooklyn,East New York,Boro Zone,Other
77,17346,77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,Other
78,14117,78,Bronx,East Tremont,Boro Zone,Other
79,973874,79,Manhattan,East Village,Yellow Zone,Congestion Zone
80,78388,80,Brooklyn,East Williamsburg,Boro Zone,Other
81,8684,81,Bronx,Eastchester,Boro Zone,Other
82,52338,82,Queens,Elmhurst,Boro Zone,Other
83,17575,83,Queens,Elmhurst/Maspeth,Boro Zone,Other
84,358,84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,Other
85,22320,85,Brooklyn,Erasmus,Boro Zone,Other
86,14093,86,Queens,Far Rockaway,Boro Zone,Other
87,424861,87,Manhattan,Financial District North,Yellow Zone,Congestion Zone
88,200979,88,Manhattan,Financial District South,Yellow Zone,Congestion Zone
89,66013,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,Other
90,627976,90,Manhattan,Flatiron,Yellow Zone,Congestion Zone
91,28325,91,Brooklyn,Flatlands,Boro Zone,Other
92,42773,92,Queens,Flushing,Boro Zone,Other
93,44774,93,Queens,Flushing Meadows-Corona Park,Boro Zone,Other
94,6767,94,Bronx,Fordham South,Boro Zone,Other
95,70329,95,Queens,Forest Hills,Boro Zone,Other
96,2328,96,Queens,Forest Park/Highland Park,Boro Zone,Other
97,74773,97,Brooklyn,Fort Greene,Boro Zone,Other
98,8840,98,Queens,Fresh Meadows,Boro Zone,Other
99,16,99,Staten Island,Freshkills Park,Boro Zone,Other
100,549230,100,Manhattan,Garment District,Yellow Zone,Congestion Zone
101,6550,101,Queens,Glen Oaks,Boro Zone,Other
102,15016,102,Queens,Glendale,Boro Zone,Other
105,7,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Congestion Zone
106,21279,106,Brooklyn,Gowanus,Boro Zone,Other
